[I 2025-03-23 05:44:16,195] Using an existing study with name 'SST-2-GATv2-google-bert-bert-base-uncased-Grouped-No_Aggregation-Random_Attentions-0.0-0.0' instead of creating a new one.
[I 2025-03-23 05:48:29,818] Trial 132 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5453195751413947, 'batch_size': 102, 'attention_heads': 8, 'hidden_dimension': 186, 'number_of_hidden_layers': 1, 'dropout_rate': 0.473529976279303, 'global_pooling': 'mean', 'learning_rate': 0.00045722149817902235, 'weight_decay': 8.476135191720784e-05, 'beta_0': 0.8393064806940972, 'beta_1': 0.9833632733962632, 'epsilon': 3.885818221250552e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 14, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:23:46,931] Trial 170 finished with value: 0.9094036697247706 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.49076305514162366, 'batch_size': 93, 'attention_heads': 7, 'hidden_dimension': 185, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5546587853305656, 'global_pooling': 'mean', 'learning_rate': 0.0013321328583535377, 'weight_decay': 0.00014120426679171055, 'beta_0': 0.8353680054069736, 'beta_1': 0.9831360156199616, 'epsilon': 2.06343176912606e-07, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:28:04,818] Trial 171 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4871759381143826, 'batch_size': 104, 'attention_heads': 6, 'hidden_dimension': 177, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5565984345067714, 'global_pooling': 'mean', 'learning_rate': 0.0006954103153069975, 'weight_decay': 0.00015265726634010576, 'beta_0': 0.8345172433383073, 'beta_1': 0.9838829070411366, 'epsilon': 1.9445611271451148e-07, 'balanced_loss': True, 'epochs': 123, 'early_stopping_patience': 15, 'plateau_patience': 18, 'plateau_divider': 5}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:32:08,309] Trial 172 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5024476010923211, 'batch_size': 91, 'attention_heads': 7, 'hidden_dimension': 182, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5628298298479847, 'global_pooling': 'mean', 'learning_rate': 0.0014188374868617803, 'weight_decay': 0.0001773515604031449, 'beta_0': 0.8323823503066056, 'beta_1': 0.9829942001115383, 'epsilon': 3.6684028296542003e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:36:30,971] Trial 173 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4751639344059847, 'batch_size': 97, 'attention_heads': 7, 'hidden_dimension': 188, 'number_of_hidden_layers': 1, 'dropout_rate': 0.546442738299267, 'global_pooling': 'mean', 'learning_rate': 0.0019863461452330733, 'weight_decay': 0.00010744239708277381, 'beta_0': 0.8412048612715894, 'beta_1': 0.9950315243696213, 'epsilon': 1.265285246228829e-07, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:40:36,673] Trial 174 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5120320258261617, 'batch_size': 84, 'attention_heads': 8, 'hidden_dimension': 153, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5536990027748748, 'global_pooling': 'mean', 'learning_rate': 0.0012489552125348235, 'weight_decay': 0.00014259340764511425, 'beta_0': 0.8397041232118317, 'beta_1': 0.9833970431792044, 'epsilon': 2.4105318760711645e-07, 'balanced_loss': True, 'epochs': 109, 'early_stopping_patience': 12, 'plateau_patience': 18, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:44:57,782] Trial 175 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5495079413058233, 'batch_size': 76, 'attention_heads': 9, 'hidden_dimension': 204, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5735875478500051, 'global_pooling': 'mean', 'learning_rate': 0.0010404042880749395, 'weight_decay': 0.0002347830684283583, 'beta_0': 0.8433685671902229, 'beta_1': 0.9824981147403191, 'epsilon': 1.7371337034048483e-07, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 14, 'plateau_patience': 22, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:49:11,817] Trial 176 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5916701869703364, 'batch_size': 92, 'attention_heads': 10, 'hidden_dimension': 196, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5319694083251103, 'global_pooling': 'mean', 'learning_rate': 0.0017408458486086352, 'weight_decay': 7.462215775326805e-05, 'beta_0': 0.8810368001274257, 'beta_1': 0.9969428370334174, 'epsilon': 2.744343006316784e-07, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 13, 'plateau_patience': 21, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:53:18,725] Trial 177 finished with value: 0.8967889908256881 and parameters: {'attention_pooling_operation': 'min', 'embedding_pooling_operation': 'max', 'threshold': 0.4914526524557024, 'batch_size': 71, 'attention_heads': 7, 'hidden_dimension': 187, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5205603597715194, 'global_pooling': 'mean', 'learning_rate': 0.0008964336603209964, 'weight_decay': 9.643992039701962e-05, 'beta_0': 0.8454599554005326, 'beta_1': 0.9830736157501756, 'epsilon': 2.1267174328792085e-07, 'balanced_loss': True, 'epochs': 100, 'early_stopping_patience': 14, 'plateau_patience': 23, 'plateau_divider': 8}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 08:57:23,615] Trial 178 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5228258287939216, 'batch_size': 108, 'attention_heads': 8, 'hidden_dimension': 122, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5694239912515107, 'global_pooling': 'mean', 'learning_rate': 0.00256936904189835, 'weight_decay': 0.00013559219130013255, 'beta_0': 0.838566536284224, 'beta_1': 0.9984553545457002, 'epsilon': 5.694904070236647e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 13, 'plateau_patience': 19, 'plateau_divider': 5}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:01:17,469] Trial 179 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5056068731399928, 'batch_size': 81, 'attention_heads': 8, 'hidden_dimension': 95, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5443208386456865, 'global_pooling': 'mean', 'learning_rate': 0.0005715279778266993, 'weight_decay': 5.7271710607219546e-05, 'beta_0': 0.8827904328935505, 'beta_1': 0.9821434727592319, 'epsilon': 3.6586626862243067e-07, 'balanced_loss': True, 'epochs': 113, 'early_stopping_patience': 11, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:05:25,329] Trial 180 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5688855938286449, 'batch_size': 114, 'attention_heads': 9, 'hidden_dimension': 171, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5612916473810553, 'global_pooling': 'mean', 'learning_rate': 0.0013146658756059163, 'weight_decay': 8.209123842851284e-05, 'beta_0': 0.834977187013462, 'beta_1': 0.980312344650187, 'epsilon': 3.038948670320554e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:09:44,140] Trial 181 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5584874459362461, 'batch_size': 115, 'attention_heads': 9, 'hidden_dimension': 184, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5632121213432354, 'global_pooling': 'mean', 'learning_rate': 0.005325702205491457, 'weight_decay': 0.00011139229840789241, 'beta_0': 0.8351025295797727, 'beta_1': 0.980182206799099, 'epsilon': 4.7464442840493415e-07, 'balanced_loss': True, 'epochs': 85, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:14:07,130] Trial 182 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5676448525912021, 'batch_size': 103, 'attention_heads': 9, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5519492745302546, 'global_pooling': 'mean', 'learning_rate': 0.0013337461589092402, 'weight_decay': 8.644250339692793e-05, 'beta_0': 0.8296211219282399, 'beta_1': 0.9804046542578879, 'epsilon': 3.002015472045006e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:18:00,406] Trial 183 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6032855270420151, 'batch_size': 112, 'attention_heads': 7, 'hidden_dimension': 168, 'number_of_hidden_layers': 1, 'dropout_rate': 0.559778874670092, 'global_pooling': 'mean', 'learning_rate': 0.0011473026574975124, 'weight_decay': 6.989239204517989e-05, 'beta_0': 0.8359698154871323, 'beta_1': 0.9808659888430123, 'epsilon': 4.1054830292891357e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:21:52,205] Trial 184 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6147015540920312, 'batch_size': 112, 'attention_heads': 7, 'hidden_dimension': 170, 'number_of_hidden_layers': 1, 'dropout_rate': 0.578217671097186, 'global_pooling': 'mean', 'learning_rate': 0.001049737809437553, 'weight_decay': 9.373035741890299e-05, 'beta_0': 0.8358615846400906, 'beta_1': 0.9811356234044409, 'epsilon': 8.00199650887215e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:25:59,530] Trial 185 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4804347532200621, 'batch_size': 117, 'attention_heads': 6, 'hidden_dimension': 178, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5592671303111549, 'global_pooling': 'mean', 'learning_rate': 0.0008084632485130394, 'weight_decay': 7.831621315186676e-05, 'beta_0': 0.8322564527500934, 'beta_1': 0.9816166896696247, 'epsilon': 4.0443424609447967e-07, 'balanced_loss': True, 'epochs': 93, 'early_stopping_patience': 12, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:30:12,801] Trial 186 finished with value: 0.908256880733945 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4948254905625761, 'batch_size': 109, 'attention_heads': 10, 'hidden_dimension': 166, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5687297376906395, 'global_pooling': 'mean', 'learning_rate': 0.0016495842257270204, 'weight_decay': 7.072825449932476e-05, 'beta_0': 0.8371492651240314, 'beta_1': 0.9837226728321988, 'epsilon': 6.303135809068198e-07, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:34:43,732] Trial 187 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.49394593380945234, 'batch_size': 107, 'attention_heads': 10, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5694896983329875, 'global_pooling': 'mean', 'learning_rate': 0.0016975603669597728, 'weight_decay': 0.00012034101901211411, 'beta_0': 0.833453271474114, 'beta_1': 0.9853881155175999, 'epsilon': 6.123018631228287e-07, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 12, 'plateau_patience': 19, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:38:58,196] Trial 188 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.5897882993976375, 'batch_size': 112, 'attention_heads': 10, 'hidden_dimension': 159, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5857222841956252, 'global_pooling': 'mean', 'learning_rate': 0.0023213252092473264, 'weight_decay': 1.2989302621345832e-06, 'beta_0': 0.8365406113203913, 'beta_1': 0.9840795810935219, 'epsilon': 4.937098643287829e-07, 'balanced_loss': True, 'epochs': 96, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:43:18,690] Trial 189 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.603291463267723, 'batch_size': 120, 'attention_heads': 10, 'hidden_dimension': 168, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5771898420912894, 'global_pooling': 'mean', 'learning_rate': 0.0015588198943316531, 'weight_decay': 2.035393262448252e-05, 'beta_0': 0.8408283867658323, 'beta_1': 0.984603849360976, 'epsilon': 7.126623301699386e-07, 'balanced_loss': True, 'epochs': 90, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:47:27,337] Trial 190 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'mean', 'embedding_pooling_operation': 'min', 'threshold': 0.540695279223221, 'batch_size': 96, 'attention_heads': 11, 'hidden_dimension': 174, 'number_of_hidden_layers': 1, 'dropout_rate': 0.46715306774917664, 'global_pooling': 'mean', 'learning_rate': 0.0011909117977727758, 'weight_decay': 0.00016311184419742398, 'beta_0': 0.8420639620237034, 'beta_1': 0.9835436377053205, 'epsilon': 2.1619961087232504e-07, 'balanced_loss': True, 'epochs': 144, 'early_stopping_patience': 10, 'plateau_patience': 19, 'plateau_divider': 8}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:51:15,843] Trial 191 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.652144192635686, 'batch_size': 153, 'attention_heads': 7, 'hidden_dimension': 151, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5550246955369424, 'global_pooling': 'mean', 'learning_rate': 0.0020806297281421235, 'weight_decay': 6.921033500685221e-05, 'beta_0': 0.8446239244957365, 'beta_1': 0.998133747874126, 'epsilon': 1.344206750404027e-06, 'balanced_loss': True, 'epochs': 88, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 09:55:46,131] Trial 192 finished with value: 0.9151376146788991 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5094588255770742, 'batch_size': 101, 'attention_heads': 10, 'hidden_dimension': 171, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5611734682241292, 'global_pooling': 'mean', 'learning_rate': 0.0009899814325635653, 'weight_decay': 8.208730412107079e-05, 'beta_0': 0.8377386570893766, 'beta_1': 0.983028796281782, 'epsilon': 3.886396896693544e-07, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 13, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:00:18,299] Trial 193 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5133448068606745, 'batch_size': 106, 'attention_heads': 10, 'hidden_dimension': 173, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5595862177992091, 'global_pooling': 'mean', 'learning_rate': 0.0011467771232305144, 'weight_decay': 8.673151938127193e-05, 'beta_0': 0.8373306639481484, 'beta_1': 0.9838856406653235, 'epsilon': 2.648205510671822e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 13, 'plateau_patience': 24, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:04:28,593] Trial 194 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.48748062883177384, 'batch_size': 88, 'attention_heads': 10, 'hidden_dimension': 163, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5653189903253567, 'global_pooling': 'mean', 'learning_rate': 0.000742836158576315, 'weight_decay': 0.00010461258442971305, 'beta_0': 0.8347548177966418, 'beta_1': 0.9829001171209981, 'epsilon': 3.173543144104771e-07, 'balanced_loss': True, 'epochs': 95, 'early_stopping_patience': 11, 'plateau_patience': 23, 'plateau_divider': 4}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:08:54,562] Trial 195 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.469096451121494, 'batch_size': 101, 'attention_heads': 11, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5740447388921854, 'global_pooling': 'mean', 'learning_rate': 0.0014516297118660846, 'weight_decay': 7.864640633669779e-05, 'beta_0': 0.8313533140001005, 'beta_1': 0.9835823257803123, 'epsilon': 4.377310553657302e-07, 'balanced_loss': True, 'epochs': 105, 'early_stopping_patience': 13, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:13:09,287] Trial 196 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5208241938503455, 'batch_size': 110, 'attention_heads': 10, 'hidden_dimension': 181, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5541551380461731, 'global_pooling': 'mean', 'learning_rate': 0.0009348681701297172, 'weight_decay': 9.649006454316804e-05, 'beta_0': 0.8402534790554174, 'beta_1': 0.9898136906999204, 'epsilon': 6.032630755791558e-07, 'balanced_loss': True, 'epochs': 91, 'early_stopping_patience': 12, 'plateau_patience': 20, 'plateau_divider': 5}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:17:50,744] Trial 197 finished with value: 0.8979357798165137 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.4761530131609885, 'batch_size': 95, 'attention_heads': 9, 'hidden_dimension': 155, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5476836345935591, 'global_pooling': 'sum', 'learning_rate': 0.00124452415193263, 'weight_decay': 6.787752772844097e-05, 'beta_0': 0.8379957571388714, 'beta_1': 0.9976981126395781, 'epsilon': 1.7968091710426713e-07, 'balanced_loss': True, 'epochs': 97, 'early_stopping_patience': 15, 'plateau_patience': 24, 'plateau_divider': 10}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:21:47,742] Trial 198 finished with value: 0.9025229357798165 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5278193970649729, 'batch_size': 125, 'attention_heads': 4, 'hidden_dimension': 160, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5702086987373959, 'global_pooling': 'mean', 'learning_rate': 0.0006575273463673138, 'weight_decay': 0.00012679789929962156, 'beta_0': 0.84330247742157, 'beta_1': 0.9832905767119123, 'epsilon': 3.6174307482617406e-07, 'balanced_loss': True, 'epochs': 87, 'early_stopping_patience': 14, 'plateau_patience': 19, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:26:00,327] Trial 199 finished with value: 0.9071100917431193 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4958959092924071, 'batch_size': 99, 'attention_heads': 10, 'hidden_dimension': 177, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5612145975933307, 'global_pooling': 'mean', 'learning_rate': 0.003701861103838406, 'weight_decay': 5.716087752222152e-05, 'beta_0': 0.8357317162956633, 'beta_1': 0.9906377082870536, 'epsilon': 8.414221753413639e-07, 'balanced_loss': True, 'epochs': 116, 'early_stopping_patience': 11, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:30:16,542] Trial 200 finished with value: 0.9002293577981652 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6287352247315482, 'batch_size': 117, 'attention_heads': 10, 'hidden_dimension': 165, 'number_of_hidden_layers': 1, 'dropout_rate': 0.47338729508363686, 'global_pooling': 'mean', 'learning_rate': 0.004956687784232454, 'weight_decay': 5.89052862538836e-05, 'beta_0': 0.8335793838167462, 'beta_1': 0.9907578590323721, 'epsilon': 1.1152504250412918e-06, 'balanced_loss': True, 'epochs': 102, 'early_stopping_patience': 11, 'plateau_patience': 20, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:34:39,321] Trial 201 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5100775728985727, 'batch_size': 91, 'attention_heads': 10, 'hidden_dimension': 178, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4828313159951959, 'global_pooling': 'mean', 'learning_rate': 0.002935793030943536, 'weight_decay': 1.6303728422930845e-06, 'beta_0': 0.8285245882432827, 'beta_1': 0.9915484403185527, 'epsilon': 5.36735359735488e-07, 'balanced_loss': True, 'epochs': 94, 'early_stopping_patience': 10, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:39:09,023] Trial 202 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4963283149057333, 'batch_size': 100, 'attention_heads': 10, 'hidden_dimension': 172, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5637696486487181, 'global_pooling': 'mean', 'learning_rate': 0.0035322832731527784, 'weight_decay': 7.805064565757625e-05, 'beta_0': 0.8355275799663903, 'beta_1': 0.9902827271910386, 'epsilon': 8.893826172484037e-07, 'balanced_loss': True, 'epochs': 118, 'early_stopping_patience': 11, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:44:44,495] Trial 203 finished with value: 0.8990825688073395 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.4866750819323272, 'batch_size': 106, 'attention_heads': 16, 'hidden_dimension': 183, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5607364107094619, 'global_pooling': 'mean', 'learning_rate': 0.007191330781567721, 'weight_decay': 1.1049299978904862e-05, 'beta_0': 0.8370222817936529, 'beta_1': 0.980428829567261, 'epsilon': 7.84277820143742e-07, 'balanced_loss': True, 'epochs': 112, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:49:06,741] Trial 204 finished with value: 0.9048165137614679 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5020422534993509, 'batch_size': 87, 'attention_heads': 10, 'hidden_dimension': 177, 'number_of_hidden_layers': 1, 'dropout_rate': 0.462243022243292, 'global_pooling': 'mean', 'learning_rate': 0.001639407682510701, 'weight_decay': 7.04671534965992e-05, 'beta_0': 0.8406601640299233, 'beta_1': 0.9890861330097244, 'epsilon': 4.197317192678227e-07, 'balanced_loss': True, 'epochs': 115, 'early_stopping_patience': 12, 'plateau_patience': 23, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:52:56,489] Trial 205 finished with value: 0.9013761467889908 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.6898405202740658, 'batch_size': 97, 'attention_heads': 7, 'hidden_dimension': 142, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5504708247521517, 'global_pooling': 'mean', 'learning_rate': 0.0010530186468585595, 'weight_decay': 9.733696793140346e-05, 'beta_0': 0.8781634737984152, 'beta_1': 0.9912181740416869, 'epsilon': 2.4470550232798774e-07, 'balanced_loss': True, 'epochs': 99, 'early_stopping_patience': 13, 'plateau_patience': 23, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 10:58:06,820] Trial 206 finished with value: 0.8956422018348624 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.5330716652209582, 'batch_size': 113, 'attention_heads': 11, 'hidden_dimension': 169, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5680099443824113, 'global_pooling': 'mean', 'learning_rate': 0.010035730331458033, 'weight_decay': 6.083410199207662e-05, 'beta_0': 0.8390431853453343, 'beta_1': 0.98001432706474, 'epsilon': 2.8743088470407936e-07, 'balanced_loss': True, 'epochs': 110, 'early_stopping_patience': 15, 'plateau_patience': 24, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 11:02:37,064] Trial 207 finished with value: 0.9059633027522935 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'max', 'threshold': 0.6008279709493183, 'batch_size': 93, 'attention_heads': 9, 'hidden_dimension': 215, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5558235448675013, 'global_pooling': 'mean', 'learning_rate': 0.0037888061730180288, 'weight_decay': 9.092145394202659e-05, 'beta_0': 0.830234757188709, 'beta_1': 0.9921895954136521, 'epsilon': 5.035197987062741e-07, 'balanced_loss': True, 'epochs': 106, 'early_stopping_patience': 11, 'plateau_patience': 21, 'plateau_divider': 7}. Best is trial 93 with value: 0.9208715596330275.
[I 2025-03-23 11:08:15,886] Trial 208 finished with value: 0.9036697247706422 and parameters: {'attention_pooling_operation': 'max', 'embedding_pooling_operation': 'min', 'threshold': 0.49462499302786256, 'batch_size': 104, 'attention_heads': 16, 'hidden_dimension': 192, 'number_of_hidden_layers': 1, 'dropout_rate': 0.5777636390528436, 'global_pooling': 'mean', 'learning_rate': 0.0018688751901358245, 'weight_decay': 0.00019651758271130128, 'beta_0': 0.8852911503961455, 'beta_1': 0.9807966809352635, 'epsilon': 4.378996532246648e-06, 'balanced_loss': True, 'epochs': 92, 'early_stopping_patience': 13, 'plateau_patience': 22, 'plateau_divider': 6}. Best is trial 93 with value: 0.9208715596330275.
